MAKE,MODEL,DESCRIPTION
ACUR,CSX       ,ACURA
ACUR,CSX PREMIU,ACURA
ACUR,CSX TECHNO,ACURA
ACUR,CSX TOURIN,ACURA
ACUR,CSX TYPE S,ACURA
ACUR,CSX TYPE-S,ACURA
ACUR,EL PREMIUM,ACURA
ACUR,EL TOURING,ACURA
ACUR,ILX       ,ACURA
ACUR,ILX BASE  ,ACURA
ACUR,ILX BASE W,ACURA
ACUR,ILX DYNAMI,ACURA
ACUR,ILX HYBRID,ACURA
ACUR,ILX PREMIU,ACURA
ACUR,ILX SPECIA,ACURA
ACUR,ILX WATCH ,ACURA
ACUR,ILX 20    ,ACURA
ACUR,ILX 20 PRE,ACURA
ACUR,ILX 20 TEC,ACURA
ACUR,ILX 24 PRE,ACURA
ACUR,INTEG GSR ,ACURA
ACUR,INTEG LSS ,ACURA
ACUR,INTEGRA   ,ACURA
ACUR,INTEGRA A-,ACURA
ACUR,INTEGRA AN,ACURA
ACUR,INTEGRA AS,ACURA
ACUR,INTEGRA GS,ACURA
ACUR,INTEGRA LS,ACURA
ACUR,INTEGRA RS,ACURA
ACUR,INTEGRA SE,ACURA
ACUR,INTEGRA SP,ACURA
ACUR,INTEGRA TY,ACURA
ACUR,INTEGRAGSR,ACURA
ACUR,LEG L SR  ,ACURA
ACUR,LEGEND    ,ACURA
ACUR,LEGEND GS ,ACURA
ACUR,LEGEND L  ,ACURA
ACUR,LEGEND LC ,ACURA
ACUR,LEGEND LL ,ACURA
ACUR,LEGEND LS ,ACURA
ACUR,LEGEND RL ,ACURA
ACUR,LEGEND SE ,ACURA
ACUR,LEGEND SPE,ACURA
ACUR,LEGEND SR ,ACURA
ACUR,MDX       ,ACURA
ACUR,MDX A-SPEC,ACURA
ACUR,MDX ADVANC,ACURA
ACUR,MDX AWD   ,ACURA
ACUR,MDX ELITE ,ACURA
ACUR,MDX NAVI  ,ACURA
ACUR,MDX PREM  ,ACURA
ACUR,MDX PREMIU,ACURA
ACUR,MDX SPORT ,ACURA
ACUR,MDX TECH  ,ACURA
ACUR,MDX TECH P,ACURA
ACUR,MDX TECHNO,ACURA
ACUR,MDX TOURIN,ACURA
ACUR,MDX TYPE S,ACURA
ACUR,MDX/PREMIU,ACURA
ACUR,MDX/TOURIN,ACURA
ACUR,NSX       ,ACURA
ACUR,NSX S     ,ACURA
ACUR,NSX T     ,ACURA
ACUR,NSX TYPE-S,ACURA
ACUR,NSX-T     ,ACURA
ACUR,RDX       ,ACURA
ACUR,RDX A-SPEC,ACURA
ACUR,RDX ADVANC,ACURA
ACUR,RDX BASE  ,ACURA
ACUR,RDX PLATIN,ACURA
ACUR,RDX TECHNO,ACURA
ACUR,RL        ,ACURA
ACUR,RLX       ,ACURA
ACUR,RLX ADVANC,ACURA
ACUR,RLX SPORT ,ACURA
ACUR,RLX TECH  ,ACURA
ACUR,RLX TECH A,ACURA
ACUR,RLX TECH-A,ACURA
ACUR,RLX TECHNO,ACURA
ACUR,RLX WATCH ,ACURA
ACUR,RSX       ,ACURA
ACUR,RSX TYPE-S,ACURA
ACUR,SLX       ,ACURA
ACUR,TL        ,ACURA
ACUR,TL ADVANCE,ACURA
ACUR,TL AWD    ,ACURA
ACUR,TL AWD ADV,ACURA
ACUR,TL AWD TEC,ACURA
ACUR,TL SE     ,ACURA
ACUR,TL SH     ,ACURA
ACUR,TL SH-AWD ,ACURA
ACUR,TL TECH   ,ACURA
