"MODEL_YEAR","VEHICLE_MAKE","MAKE_FULL_TITLE","VEHICLE_MODEL"
"2018",DODG ,DODGE                      ,DURANGO SR
"2013",ACUR ,ACURA                      ,MDX       
"2007",HOND ,HONDA                      ,CMX250 C  
"2008",BMW  ,BMW                        ,"335 I     "
"2008",BMW  ,BMW Motorrad               ,"335 I     "
"2009",DODG ,DODGE                      ,RAM 1500  
"2017",NISS ,NISSAN                     ,VERSA S   
"2002",CHEV ,CHEVROLET                  ,SILVERADO 
"2017",HARL ,HARLEY DAVIDSON            ,FLHTCUTG T
"2006",GMC  ,GMC                        ,ENVOY     
"2013",DODG ,DODGE                      ,JOURNEY SX
"2013",CHEV ,CHEVROLET                  ,EQUINOX LS
"2005",LEXS ,LEXUS                      ,ES 330    
"2004",INFI ,INFINITI                   ,FX45      
"2004",INFI ,INFINITY                   ,FX45      
"2013",TOYT ,TOYOTA                     ,YARIS     
"1984",CADI ,CADILLAC                   ,ELDORADO  
"2006",KIA  ,KIA                        ,SORENTO EX
"2005",CHEV ,CHEVROLET                  ,SILVERADO 
"2007",MERZ ,MERCEDES BENZ              ,E 350     
"2014",NISS ,NISSAN                     ,SENTRA S  
"2000",FORD ,FORD                       ,F150      
"2006",LEXS ,LEXUS                      ,ES 330    
"2016",CHEV ,CHEVROLET                  ,CRUZE PREM
"2010",CADI ,CADILLAC                   ,SRX LUXURY
"2001",BMW  ,BMW                        ,"325 I     "
"2001",BMW  ,BMW Motorrad               ,"325 I     "
"2017",CHEV ,CHEVROLET                  ,MALIBU LS 
"2018",AUDI ,AUDI                       ,A4 PREMIUM
"2018",VOLK ,VOLKSWAGEN                 ,JETTA S   
"1991",TOYT ,TOYOTA                     ,COROLLA   
"2011",CHEV ,CHEVROLET                  ,EQUINOX LT
"2019",BMW  ,BMW                        ,"330XI     "
"2019",BMW  ,BMW Motorrad               ,"330XI     "
"2020",HYUN ,HYUNDAI                    ,KONA SEL P
"2008",HOND ,HONDA                      ,CIVIC LX  
